"","Group.1","x"
"773",2013-06-08,15.53723
"774",2013-06-09,14.95143
"775",2013-06-10,17.68316
"776",2013-06-11,16.41584
"777",2013-06-12,17.23154
"778",2013-06-13,16.94552
"779",2013-06-14,14.56053
"780",2013-06-15,12.78347
"781",2013-06-16,14.89524
"782",2013-06-17,18.11794
"783",2013-06-18,18.30989
"784",2013-06-19,17.23862
"785",2013-06-20,17.33814
"786",2013-06-21,14.84778
"787",2013-06-22,17.19217
"788",2013-06-23,18.35346
"789",2013-06-24,19.13504
"790",2013-06-25,19.13504
"791",2013-06-26,18.50024
"792",2013-06-27,18.94012
"793",2013-06-28,19.03778
"794",2013-06-29,16.26922
"795",2013-06-30,18.09616
"796",2013-07-01,21.08991
"797",2013-07-02,21.85412
"798",2013-07-03,21.74343
"799",2013-07-04,22.04456
"800",2013-07-05,21.72309
"801",2013-07-06,20.3554
"802",2013-07-07,20.56335
"803",2013-07-08,18.81682
"804",2013-07-09,20.3558
"805",2013-07-10,22.06491
"806",2013-07-11,21.30395
"807",2013-07-12,18.15937
"808",2013-07-13,18.95236
"809",2013-07-14,21.58915
"810",2013-07-15,20.56539
"811",2013-07-16,21.38127
"812",2013-07-17,21.52427
"813",2013-07-18,22.35586
"814",2013-07-19,21.47648
"815",2013-07-20,20.79145
"816",2013-07-21,19.62335
"817",2013-07-22,20.3554
"818",2013-07-23,20.75176
"819",2013-07-24,17.47479
"820",2013-07-25,14.18563
"821",2013-07-26,12.89817
"822",2013-07-27,19.25223
"823",2013-07-28,17.96431
"824",2013-07-29,13.28497
"825",2013-07-30,13.48417
"826",2013-07-31,16.29099
"827",2013-08-01,18.25731
"828",2013-08-02,16.69978
"829",2013-08-03,17.27019
"830",2013-08-04,14.55991
"831",2013-08-05,12.55732
"832",2013-08-06,18.03383
"833",2013-08-07,20.01399
"834",2013-08-08,22.11455
"835",2013-08-09,22.26064
"836",2013-08-10,19.37919
"837",2013-08-11,19.52122
"838",2013-08-12,20.0608
"839",2013-08-13,20.01481
"840",2013-08-14,10.97269
"841",2013-08-15,10.60594
"842",2013-08-16,11.43991
"843",2013-08-17,11.53499
"844",2013-08-18,16.02282
"845",2013-08-19,16.07198
"846",2013-08-20,17.44107
"847",2013-08-21,19.6722
"848",2013-08-22,19.37919
"849",2013-08-23,15.6459
"850",2013-08-24,13.38949
"851",2013-08-25,13.96705
"852",2013-08-26,15.82993
"853",2013-08-27,18.1633
"854",2013-08-28,21.00893
"855",2013-08-29,19.13789
"856",2013-08-30,18.40393
"857",2013-08-31,20.6785
"858",2013-09-01,18.7217
"859",2013-09-02,20.10596
"860",2013-09-03,14.91867
"861",2013-09-04,12.60394
"862",2013-09-05,13.67153
"863",2013-09-06,9.813827
"864",2013-09-07,11.34275
"865",2013-09-08,14.9038
"866",2013-09-09,15.33025
"867",2013-09-10,19.03741
"868",2013-09-11,21.08829
"869",2013-09-12,19.05772
"870",2013-09-13,11.93143
"871",2013-09-14,7.163521
"872",2013-09-15,8.019609
"873",2013-09-16,13.09398
"874",2013-09-17,8.058448
"875",2013-09-18,7.315357
"876",2013-09-19,10.2516
"877",2013-09-20,13.53529
"878",2013-09-21,14.93177
"879",2013-09-22,9.483658
"880",2013-09-23,7.841914
"881",2013-09-24,6.003349
"882",2013-09-25,8.417062
"883",2013-09-26,10.21854
"884",2013-09-27,9.300228
"885",2013-09-28,10.40046
"886",2013-09-29,8.469885
"887",2013-09-30,10.12686
"888",2013-10-01,13.4432
"889",2013-10-02,14.32251
"890",2013-10-03,15.24258
