"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","dtr",1927,6,8.4,0
"Amacayacu","dtr",1927,7,9.4,0
"Amacayacu","dtr",1927,8,9.7,0
"Amacayacu","dtr",1927,9,10,0
"Amacayacu","dtr",1927,10,9.4,0
"Amacayacu","dtr",1927,11,9.1,0
"Amacayacu","dtr",1927,12,8.5,0
"Amacayacu","dtr",1928,1,8.6,0
"Amacayacu","dtr",1928,2,8.7,0
"Amacayacu","dtr",1928,3,8.6,0
"Amacayacu","dtr",1928,4,8,0
"Amacayacu","dtr",1928,5,7.9,0
"Amacayacu","dtr",1928,6,8.4,0
"Amacayacu","dtr",1928,7,9.4,0
"Amacayacu","dtr",1928,8,9.7,0
"Amacayacu","dtr",1928,9,10,0
"Amacayacu","dtr",1928,10,9.4,0
"Amacayacu","dtr",1928,11,9.1,0
"Amacayacu","dtr",1928,12,8.5,0
"Amacayacu","dtr",1929,1,8.6,0
"Amacayacu","dtr",1929,2,8.7,0
"Amacayacu","dtr",1929,3,8.6,0
"Amacayacu","dtr",1929,4,8,0
"Amacayacu","dtr",1929,5,7.9,0
"Amacayacu","dtr",1929,6,8.4,0
"Amacayacu","dtr",1929,7,9.4,0
"Amacayacu","dtr",1929,8,9.7,0
"Amacayacu","dtr",1929,9,10,0
"Amacayacu","dtr",1929,10,9.4,0
"Amacayacu","dtr",1929,11,9.1,0
"Amacayacu","dtr",1929,12,8.5,0
"Amacayacu","dtr",1930,1,8.6,0
"Amacayacu","dtr",1930,2,8.7,0
"Amacayacu","dtr",1930,3,8.6,0
"Amacayacu","dtr",1930,4,8,0
"Amacayacu","dtr",1930,5,7.9,0
"Amacayacu","dtr",1930,6,8.4,0
"Amacayacu","dtr",1930,7,9.4,0
"Amacayacu","dtr",1930,8,9.7,0
"Amacayacu","dtr",1930,9,10,0
"Amacayacu","dtr",1930,10,9.4,0
"Amacayacu","dtr",1930,11,9.1,0
"Amacayacu","dtr",1930,12,8.5,0
"Amacayacu","dtr",1931,1,9,1
"Amacayacu","dtr",1931,2,9.1,1
"Amacayacu","dtr",1931,3,8.9,1
"Amacayacu","dtr",1931,4,8,0
"Amacayacu","dtr",1931,5,8.3,1
"Amacayacu","dtr",1931,6,8.8,1
"Amacayacu","dtr",1931,7,9.8,1
"Amacayacu","dtr",1931,8,10.2,1
"Amacayacu","dtr",1931,9,10.7,1
"Amacayacu","dtr",1931,10,10,1
"Amacayacu","dtr",1931,11,9.6,1
"Amacayacu","dtr",1931,12,8.8,1
"Amacayacu","dtr",1932,1,8.9,1
"Amacayacu","dtr",1932,2,9,1
"Amacayacu","dtr",1932,3,8.8,1
"Amacayacu","dtr",1932,4,8,0
"Amacayacu","dtr",1932,5,8.1,1
"Amacayacu","dtr",1932,6,8.7,1
"Amacayacu","dtr",1932,7,9.9,1
"Amacayacu","dtr",1932,8,10,1
"Amacayacu","dtr",1932,9,10.4,1
"Amacayacu","dtr",1932,10,9.9,1
"Amacayacu","dtr",1932,11,9.6,1
"Amacayacu","dtr",1932,12,8.6,1
"Amacayacu","dtr",1933,1,8.7,1
"Amacayacu","dtr",1933,2,8.9,1
"Amacayacu","dtr",1933,3,8.8,1
"Amacayacu","dtr",1933,4,8.3,1
"Amacayacu","dtr",1933,5,8.1,1
"Amacayacu","dtr",1933,6,8.7,1
"Amacayacu","dtr",1933,7,9.6,1
"Amacayacu","dtr",1933,8,10.1,1
"Amacayacu","dtr",1933,9,10.5,1
"Amacayacu","dtr",1933,10,9.8,1
"Amacayacu","dtr",1933,11,9.2,1
"Amacayacu","dtr",1933,12,8.5,1
"Amacayacu","dtr",1934,1,8.9,1
"Amacayacu","dtr",1934,2,8.8,1
"Amacayacu","dtr",1934,3,8.6,1
"Amacayacu","dtr",1934,4,8.2,1
"Amacayacu","dtr",1934,5,8,1
"Amacayacu","dtr",1934,6,8.6,1
"Amacayacu","dtr",1934,7,9.5,1
"Amacayacu","dtr",1934,8,9.5,1
"Amacayacu","dtr",1934,9,9.9,1
"Amacayacu","dtr",1934,10,9.1,1
"Amacayacu","dtr",1934,11,9.1,1
"Amacayacu","dtr",1934,12,8.6,1
"Amacayacu","dtr",1935,1,8.5,1
"Amacayacu","dtr",1935,2,8.6,1
"Amacayacu","dtr",1935,3,8.5,1
"Amacayacu","dtr",1935,4,7.9,1
"Amacayacu","dtr",1935,5,7.8,1
"Amacayacu","dtr",1935,6,8.4,0
"Amacayacu","dtr",1935,7,9.3,1
"Amacayacu","dtr",1935,8,9.6,1
"Amacayacu","dtr",1935,9,10.1,1
"Amacayacu","dtr",1935,10,9.4,0
"Amacayacu","dtr",1935,11,9.1,0
"Amacayacu","dtr",1935,12,8.5,0
"Amacayacu","dtr",1936,1,8.6,0
"Amacayacu","dtr",1936,2,8.7,0
"Amacayacu","dtr",1936,3,8.7,1
"Amacayacu","dtr",1936,4,8.1,1
"Amacayacu","dtr",1936,5,8,1
