"sites.sitename","Year_month","mean_TMP","mean_TMN"
"Wanang","1999-02",17.7000916244921,22.6561394666944
"Wanang","1999-03",17.7000916244921,22.6561394666944
"Wanang","1999-04",17.7000916244921,22.6561394666944
"Wanang","1999-05",17.7000916244921,22.6561394666944
"Wanang","1999-06",17.7000916244921,22.6561394666944
"Wanang","1999-07",17.7000916244921,22.6561394666944
"Wanang","1999-08",17.7000916244921,22.6561394666944
"Wanang","1999-09",17.7000916244921,22.6561394666944
"Wanang","1999-10",17.7000916244921,22.6561394666944
"Wanang","1999-11",17.7000916244921,22.6561394666944
"Wanang","1999-12",17.7000916244921,22.6561394666944
"Wanang","2000-01",17.7000916244921,22.6561394666944
"Wanang","2000-02",17.7000916244921,22.6561394666944
"Wanang","2000-03",17.7000916244921,22.6561394666944
"Wanang","2000-04",17.7000916244921,22.6561394666944
"Wanang","2000-05",17.7000916244921,22.6561394666944
"Wanang","2000-06",17.7000916244921,22.6561394666944
"Wanang","2000-07",17.7000916244921,22.6561394666944
"Wanang","2000-08",17.7000916244921,22.6561394666944
"Wanang","2000-09",17.7000916244921,22.6561394666944
"Wanang","2000-10",17.7000916244921,22.6561394666944
"Wanang","2000-11",17.7000916244921,22.6561394666944
"Wanang","2000-12",17.7000916244921,22.6561394666944
"Wanang","2001-01",17.7000916244921,22.6561394666944
"Wanang","2001-02",17.7000916244921,22.6561394666944
"Wanang","2001-03",17.7000916244921,22.6561394666944
"Wanang","2001-04",17.7000916244921,22.6561394666944
"Wanang","2001-05",17.7000916244921,22.6561394666944
"Wanang","2001-06",17.7000916244921,22.6561394666944
"Wanang","2001-07",17.7000916244921,22.6561394666944
"Wanang","2001-08",17.7000916244921,22.6561394666944
"Wanang","2001-09",17.7000916244921,22.6561394666944
"Wanang","2001-10",17.7000916244921,22.6561394666944
"Wanang","2001-11",17.7000916244921,22.6561394666944
"Wanang","2001-12",17.7000916244921,22.6561394666944
"Wanang","2002-01",17.7000916244921,22.6561394666944
"Wanang","2002-02",17.7000916244921,22.6561394666944
"Wanang","2002-03",17.7000916244921,22.6561394666944
"Wanang","2002-04",17.7000916244921,22.6561394666944
"Wanang","2002-05",17.7000916244921,22.6561394666944
"Wanang","2002-06",17.7000916244921,22.6561394666944
"Wanang","2002-07",17.7000916244921,22.6561394666944
"Wanang","2002-08",17.7000916244921,22.6561394666944
"Wanang","2002-09",17.7000916244921,22.6561394666944
"Wanang","2002-10",17.7000916244921,22.6561394666944
"Wanang","2002-11",17.7000916244921,22.6561394666944
"Wanang","2002-12",17.7000916244921,22.6561394666944
"Wanang","2003-01",17.7000916244921,22.6561394666944
"Wanang","2003-02",17.7000916244921,22.6561394666944
"Wanang","2003-03",17.7000916244921,22.6561394666944
"Wanang","2003-04",17.7000916244921,22.6561394666944
"Wanang","2003-05",17.7000916244921,22.6561394666944
"Wanang","2003-06",17.7000916244921,22.6561394666944
"Wanang","2003-07",17.7000916244921,22.6561394666944
"Wanang","2003-08",17.7000916244921,22.6561394666944
"Wanang","2003-09",17.7000916244921,22.6561394666944
"Wanang","2003-10",17.7000916244921,22.6561394666944
"Wanang","2003-11",17.7000916244921,22.6561394666944
"Wanang","2003-12",17.7000916244921,22.6561394666944
"Wanang","2004-01",17.7000916244921,22.6561394666944
"Wanang","2004-02",17.7000916244921,22.6561394666944
"Wanang","2004-03",17.7000916244921,22.6561394666944
"Wanang","2004-04",17.7000916244921,22.6561394666944
"Wanang","2004-05",17.7000916244921,22.6561394666944
"Wanang","2004-06",17.7000916244921,22.6561394666944
"Wanang","2004-07",17.7000916244921,22.6561394666944
"Wanang","2004-08",17.7000916244921,22.6561394666944
"Wanang","2004-09",17.7000916244921,22.6561394666944
"Wanang","2004-10",17.7000916244921,22.6561394666944
"Wanang","2004-11",17.7000916244921,22.6561394666944
"Wanang","2004-12",17.7000916244921,22.6561394666944
