StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
44,4,190604,2.55,53.9,1.15,1.15,-0.93,0.59,0,333,-0.34,0.53,0.01,-0.05,-0.3,0.52,-0.12,40.3,67.6
44,4,190605,3.05,63,0.69,0.69,-1.04,-0.42,54,116,-0.43,-0.65,0.08,0.14,-0.62,0.46,-0.21,48.8,77.2
44,4,190606,7.39,71.3,2.14,2.14,4.57,2.14,194,0,1.73,1.11,0.7,0.63,0.41,0.56,-0.22,60.2,82.4
44,4,190607,3.67,73.2,2,2,0.24,2,254,0,-0.09,1.33,0.82,0.61,0.38,0.12,-0.33,62.4,84
44,4,190608,9.06,74.4,3.53,3.53,5.21,3.53,291,0,2.1,1.77,2.46,2.07,1.66,0.85,0.57,65.6,83.2
44,4,190609,1.97,69.2,2.84,2.84,-0.98,2.4,146,20,-0.56,1.25,1.04,1.21,1.1,0.84,0.51,58.7,79.6
44,4,190610,6.96,53.1,3.81,3.81,3.78,3.81,0,372,1.52,0.86,1.89,1.93,1.77,1.35,1.01,43.5,62.8
44,4,190611,1.7,44.6,3.16,3.16,-0.76,2.81,0,612,-0.61,0.98,0.41,1.96,1.71,1.53,1.03,33.8,55.3
44,4,190612,3.42,34.2,3.21,3.21,1.12,3.21,0,955,0.5,-0.17,1.01,1.49,1.48,1.42,1.17,25.6,42.8
44,4,190701,2.58,34.8,2.86,2.86,-0.07,2.77,0,936,0,0.25,-0.18,1.51,1.61,1.47,1.12,25.6,43.9
44,4,190702,2.06,28,2.45,2.45,-0.34,2.17,0,1036,-0.17,-0.2,0.11,0.28,1.76,1.54,1.11,17.4,38.6
44,4,190703,2.44,46.9,1.7,1.7,-1.49,0.77,0,561,-0.53,-0.55,-0.55,0.53,1.04,1.19,1.1,35,58.9
44,4,190704,3.97,46.5,2.07,2.07,1.62,1.73,0,555,0.62,0.04,-0.11,-0.17,1.19,1.41,1.27,34.9,58
44,4,190705,3.5,58.4,1.9,1.9,0.13,1.55,14,219,-0.15,0.24,-0.12,-0.09,0.16,1.49,1.39,46.2,70.6
44,4,190706,6.01,64,3.03,3.03,3.97,3.03,43,73,1.19,0.72,0.87,0.33,0.86,1.34,1.39,53.4,74.6
44,4,190707,3.04,73,2.57,2.57,-0.44,2.33,248,0,-0.57,0.59,0.26,0.1,-0.03,1.2,0.97,61.8,84.2
44,4,190708,3.99,70.1,2.43,2.43,0.38,2.29,166,8,0.22,-0.28,0.44,0.21,0.18,0.36,0.88,59.1,81.2
44,4,190709,5.94,66.8,3.07,3.07,2.68,3.07,98,44,1.16,0.93,0.54,0.94,0.56,0.96,1.24,55.4,78.1
44,4,190710,1.23,49.3,2.38,2.38,-1.12,1.87,0,487,-1.01,0.33,0.27,0.34,0.2,0.09,1,35.3,63.2
44,4,190711,4.3,41,2.87,2.87,2.2,2.87,0,720,0.97,-0.06,0.63,0.77,0.58,0.48,1.33,31.8,50.2
44,4,190712,3.33,34.9,2.9,2.9,0.98,2.9,0,933,0.43,0.91,0.06,0.39,0.8,0.51,1.29,25.5,44.3
44,4,190801,3.76,31.1,3.13,3.13,1.59,3.13,0,1051,0.85,0.77,1.07,0.81,0.85,0.7,1.4,21.8,40.5
44,4,190802,4,27.9,3.53,3.53,2.16,3.53,0,1039,1.17,1.29,1.2,1.14,1.22,1.01,1.7,19,36.8
44,4,190803,2.26,46.2,2.63,2.63,-1.62,1.92,0,583,-0.69,0.42,0.75,0.47,0.66,0.97,1.42,34.4,57.8
44,4,190804,1.81,54.6,1.73,1.73,-1.87,0.26,0,315,-1.03,-1.33,-0.29,0.63,0.54,0.64,1.35,41.5,67.7
44,4,190805,5.71,63,2.12,2.12,1.69,1.29,54,116,1.07,0.26,-0.17,0.66,0.84,0.95,1.8,51.6,74.4
44,4,190806,3.61,69.1,2.01,2.01,0.33,1.27,136,13,-0.05,0.64,0.05,0.48,0.41,0.54,1.37,56.8,81.4
44,4,190807,4.86,74.9,2.2,2.2,1.2,1.82,307,0,0.71,0.35,0.84,0.45,0.94,0.87,1.58,63.2,86.6
44,4,190808,5.91,70.2,2.79,2.79,2.44,2.79,169,8,1.07,1.12,0.86,0.52,0.99,1.13,1.11,59.3,81
44,4,190809,2.71,64.4,0.03,2.53,0.09,2.51,61,79,-0.07,0.53,0.69,0.54,0.77,0.68,1.12,51.2,77.5
44,4,190810,2.65,55,-0.14,2.13,-0.41,1.87,6,316,-0.09,-0.35,0.3,0.7,0.46,0.85,0.62,42.1,67.9
44,4,190811,0.91,43,-0.66,1.38,-1.61,0.38,0,660,-1.36,-0.92,-0.95,-0.09,-0.19,0.32,0.51,31.1,55
44,4,190812,2.27,34.8,-0.68,1.14,-0.28,0.02,0,936,-0.38,-1.2,-1.01,-0.2,-0.07,0.19,0.46,25.1,44.5
44,4,190901,2.44,33.4,-0.67,0.97,-0.17,-0.2,0,980,-0.13,-0.43,-1.11,-0.52,0.11,-0.06,0.42,24.8,42
44,4,190902,3.22,40.7,-0.41,1.06,0.57,0.11,0,680,0.69,0.37,0.05,-0.81,-0.13,-0.17,0.54,29.4,52
