"Description: ","Dates where precipitation > 200 mm or abs(temperature) > 50 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,Prec,TX,TN
2018-8-29,NA,-40.48656,-69.39275
2018-8-30,NA,-49.46134,-68.85468
2018-8-31,NA,-40.4306,-65.98859
2018-9-1,NA,-25.73204,-59.64988
2018-9-2,NA,-36.7902,-70.96185
2018-9-3,NA,-3.986771,-66.46012
2018-9-4,NA,-29.71786,-66.96989
2018-9-5,NA,-38.19757,-68.90431
2018-9-6,NA,-35.85564,-69.65388
2018-9-7,NA,-11.52637,-65.24818
2018-9-9,NA,-27.10759,-55.57237
2018-9-10,NA,-13.60495,-54.27146
2018-9-11,NA,-25.68416,-56.84531
2018-9-12,NA,21.56953,-62.00961
2018-10-10,NA,25.32014,-63.53809
2018-10-11,NA,25.519,-63.35778
2018-10-15,NA,19.52936,-60.72947
2018-10-16,NA,16.03141,-63.84159
2018-10-17,NA,19.021,-52.27286
2018-10-19,NA,15.26724,-60.74266
2018-10-20,NA,15.85112,-69.33022
2018-10-21,NA,9.250033,-62.56998
2018-10-22,NA,12.11967,-55.58634
2018-10-23,NA,20.33552,-61.31372
2018-10-28,NA,14.36732,-60.76928
2018-10-29,NA,7.731232,-59.05939
2018-10-31,NA,20.63188,-63.83142
2018-11-1,NA,21.13226,-69.56168
2018-11-2,NA,-45.85579,-69.9939
2018-11-3,NA,12.73822,-50.36019
2018-11-6,NA,12.82167,-68.18719
2018-11-7,NA,14.56061,-68.47469
2018-11-8,NA,6.838847,-64.50957
2018-11-10,NA,-18.76168,-58.41871
2018-11-11,NA,7.38723,-56.38463
2018-11-12,NA,7.84747,-64.17619
2018-11-14,NA,4.444288,-64.34378
2018-11-15,NA,-43.73352,-52.77679
2018-12-3,NA,14.76718,-63.70376
2018-12-6,NA,4.732701,-68.12325
2018-12-7,NA,3.159248,-67.26609
2018-12-8,NA,2.077611,-52.07957
2018-12-10,NA,2.935562,-56.15715
2018-12-12,NA,6.156891,-54.43684
2018-12-13,NA,11.62266,-53.91494
2018-12-15,NA,6.42249,-53.08677
2018-12-16,NA,5.427081,-52.95497
2018-12-17,NA,9.204192,-63.73562
2018-12-18,NA,8.067247,-66.07195
