STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960810,0,0,0,256,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960811,5,0,0,256,122,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960812,874,0,0,178,144,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960813,43,0,0,217,150,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960814,0,0,0,289,150,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960815,0,0,0,283,167,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960816,25,0,0,289,161,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960817,0,0,0,283,156,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960818,0,0,0,294,144,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960819,0,0,0,283,144,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960820,0,0,0,278,178,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960821,0,0,0,294,189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960822,0,0,0,322,189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960823,61,0,0,328,189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960824,0,0,0,261,139,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960825,0,0,0,278,133,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960826,0,0,0,283,139,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960827,5,0,0,278,167,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960828,0,0,0,278,156,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960829,0,0,0,289,156,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960830,0,0,0,272,133,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960831,0,0,0,278,133,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960901,0,0,0,278,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960902,0,0,0,289,133,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960903,64,0,0,244,161,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960904,427,0,0,217,172,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960905,8,0,0,283,194,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960906,1468,0,0,239,200,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960907,0,0,0,300,178,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960908,0,0,0,294,178,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960909,15,0,0,289,172,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960910,41,0,0,283,183,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960911,0,0,0,239,167,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960912,127,0,0,256,161,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960913,130,0,0,217,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960914,0,0,0,217,83,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960915,0,0,0,233,83,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960916,188,0,0,156,139,,,
